fighter,wc,tier_label,tier_weight,ever_champion,win_rate,n_rounds,cluster,distance_ratio,clinch_ratio,ground_ratio,head_ratio,body_ratio,leg_ratio,str_accuracy,td_per_round,td_accuracy,ctrl_per_round,sub_per_round,kd_per_round,output_per_round
Khamzat Chimaev,Middleweight,B,3.0,True,0.9,23,3,0.5580808080808081,0.03282828282828283,0.4090909090909091,0.76010101010101,0.14646464646464646,0.09343434343434344,0.5424657534246575,1.5217391304347827,0.5833333333333334,145.52173913043478,0.391304347826087,0.08695652173913043,31.73913043478261
Khaos Williams,Welterweight,E,0.0,False,0.6363636363636364,24,2,0.8875739644970414,0.07692307692307693,0.03550295857988166,0.47928994082840237,0.20315581854043394,0.3175542406311637,0.39241486068111453,0.0,0.0,30.791666666666668,0.0,0.25,53.833333333333336
King Green,Lightweight,D+,0.0,False,0.5517241379310345,68,2,0.8111484863046612,0.08601633829889477,0.10283517539644402,0.5876982220086497,0.245074483421432,0.1672272945699183,0.5350989971715094,0.39705882352941174,0.4576271186440678,40.705882352941174,0.08823529411764706,0.08823529411764706,57.19117647058823
Krzysztof Jotko,Middleweight,D+,0.0,False,0.6470588235294118,45,1,0.553125,0.2703125,0.1765625,0.6546875,0.2171875,0.128125,0.42524916943521596,0.4222222222222222,0.3958333333333333,65.08888888888889,0.022222222222222223,0.044444444444444446,33.44444444444444
Krzysztof Soszynski,Light Heavyweight,E,0.0,False,0.75,19,1,0.5659722222222222,0.22569444444444445,0.20833333333333334,0.5868055555555556,0.22916666666666666,0.1840277777777778,0.41201716738197425,0.15789473684210525,0.2727272727272727,67.3157894736842,0.3157894736842105,0.05263157894736842,36.78947368421053
Kurt Holobaugh,Lightweight,E,0.0,False,0.2222222222222222,22,2,0.7828947368421053,0.16447368421052633,0.05263157894736842,0.6206140350877193,0.24780701754385964,0.13157894736842105,0.44970414201183434,0.22727272727272727,0.3333333333333333,44.36363636363637,0.22727272727272727,0.045454545454545456,46.09090909090909
Kurt Pellegrino,Lightweight,E,0.0,False,0.5833333333333334,28,3,0.4605263157894737,0.1118421052631579,0.4276315789473684,0.7894736842105263,0.1513157894736842,0.05921052631578947,0.43490701001430615,0.8571428571428571,0.5454545454545454,124.64285714285714,0.25,0.10714285714285714,24.964285714285715
Kyle Bochniak,Featherweight,E,0.0,False,0.2857142857142857,21,2,0.8804347826086957,0.10144927536231885,0.018115942028985508,0.6231884057971014,0.16304347826086957,0.213768115942029,0.31399317406143346,0.38095238095238093,0.15384615384615385,34.38095238095238,0.0,0.047619047619047616,41.857142857142854
Kyle Daukaus,Middleweight,E,0.0,False,0.4444444444444444,16,0,0.6871794871794872,0.1282051282051282,0.18461538461538463,0.7282051282051282,0.14358974358974358,0.1282051282051282,0.49872122762148335,0.5625,0.23684210526315788,105.4375,0.4375,0.125,24.4375
Kyle Kingsbury,Light Heavyweight,E,0.0,False,0.4444444444444444,22,1,0.6842105263157895,0.26973684210526316,0.046052631578947366,0.4506578947368421,0.2236842105263158,0.3256578947368421,0.40860215053763443,0.8181818181818182,0.4186046511627907,59.18181818181818,0.0,0.045454545454545456,33.81818181818182
Kyle Nelson,Featherweight,E,0.0,False,0.4166666666666667,27,2,0.837772397094431,0.13075060532687652,0.031476997578692496,0.559322033898305,0.26150121065375304,0.1791767554479419,0.45787139689578715,0.3333333333333333,0.23076923076923078,52.25925925925926,0.14814814814814814,0.037037037037037035,33.407407407407405
Kyle Noke,Welterweight,E,0.0,False,0.5,25,1,0.7002801120448179,0.06162464985994398,0.23809523809523808,0.47619047619047616,0.20168067226890757,0.32212885154061627,0.5107296137339056,0.44,0.55,41.44,0.16,0.12,27.96
